at_melbourne,at_iso,actor,actor_role,action,target_type,target,reason,details
2026-09-10 07:16:57 AEST,2026-09-09T21:16:57.113Z,admin,admin,admin.bootstrap,user,admin,,"{""username"":""admin""}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.642Z,admin,admin,participants.bulk_created,participants,,,"{""to"":""participant-15"",""from"":""participant-01"",""codes"":[""participant-01"",""participant-02"",""participant-03"",""participant-04"",""participant-05"",""participant-06"",""participant-07"",""participant-08"",""participant-09"",""participant-10"",""participant-11"",""participant-12"",""participant-13"",""participant-14"",""participant-15""],""count"":15}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.668Z,participant-01,participant,attempt.started,attempt,participant-01 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.706Z,participant-01,participant,attempt.submitted,attempt,participant-01 ta attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""ta"",""attemptNumber"":1,""timeUsedSeconds"":308}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.711Z,participant-01,participant,attempt.started,attempt,participant-01 sql attempt 1,,"{""bankVersion"":1,""assessmentId"":""sql"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.737Z,participant-01,participant,attempt.submitted,attempt,participant-01 sql attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""sql"",""attemptNumber"":1,""timeUsedSeconds"":204}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.742Z,participant-01,participant,attempt.started,attempt,participant-01 python attempt 1,,"{""bankVersion"":1,""assessmentId"":""python"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.764Z,participant-01,participant,attempt.submitted,attempt,participant-01 python attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""python"",""attemptNumber"":1,""timeUsedSeconds"":227}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.768Z,participant-02,participant,attempt.started,attempt,participant-02 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.791Z,participant-02,participant,attempt.submitted,attempt,participant-02 ta attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""ta"",""attemptNumber"":1,""timeUsedSeconds"":219}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.794Z,admin,admin,attempt.reset,attempt,participant-02 ta attempt 1,Participant reported the browser closing mid-attempt. Verified with delivery management.,"{""userId"":""participant-02"",""assessmentId"":""ta"",""attemptNumber"":1,""statusBeforeVoid"":""submitted""}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.798Z,participant-02,participant,attempt.started,attempt,participant-02 ta attempt 2,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":2,""questionCount"":10}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.819Z,participant-02,participant,attempt.submitted,attempt,participant-02 ta attempt 2,,"{""submitKind"":""manual"",""assessmentId"":""ta"",""attemptNumber"":2,""timeUsedSeconds"":359}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.823Z,participant-02,participant,attempt.started,attempt,participant-02 sql attempt 1,,"{""bankVersion"":1,""assessmentId"":""sql"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.844Z,participant-02,participant,attempt.submitted,attempt,participant-02 sql attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""sql"",""attemptNumber"":1,""timeUsedSeconds"":235}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.848Z,participant-02,participant,attempt.started,attempt,participant-02 python attempt 1,,"{""bankVersion"":1,""assessmentId"":""python"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.870Z,participant-02,participant,attempt.submitted,attempt,participant-02 python attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""python"",""attemptNumber"":1,""timeUsedSeconds"":201}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.874Z,participant-03,participant,attempt.started,attempt,participant-03 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.897Z,participant-03,participant,attempt.submitted,attempt,participant-03 ta attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""ta"",""attemptNumber"":1,""timeUsedSeconds"":486}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.902Z,participant-03,participant,attempt.started,attempt,participant-03 sql attempt 1,,"{""bankVersion"":1,""assessmentId"":""sql"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.923Z,participant-03,participant,attempt.submitted,attempt,participant-03 sql attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""sql"",""attemptNumber"":1,""timeUsedSeconds"":191}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.927Z,participant-03,participant,attempt.started,attempt,participant-03 python attempt 1,,"{""bankVersion"":1,""assessmentId"":""python"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.942Z,participant-03,participant,attempt.auto_submitted,attempt,participant-03 python attempt 1,,"{""submitKind"":""expired"",""finalisedBy"":""sweep"",""assessmentId"":""python"",""attemptNumber"":1,""timeUsedSeconds"":599}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.946Z,participant-04,participant,attempt.started,attempt,participant-04 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.962Z,participant-04,participant,attempt.submitted,attempt,participant-04 ta attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""ta"",""attemptNumber"":1,""timeUsedSeconds"":346}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.966Z,participant-04,participant,attempt.started,attempt,participant-04 sql attempt 1,,"{""bankVersion"":1,""assessmentId"":""sql"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.985Z,participant-04,participant,attempt.submitted,attempt,participant-04 sql attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""sql"",""attemptNumber"":1,""timeUsedSeconds"":209}"
2026-09-10 07:17:02 AEST,2026-09-09T21:17:02.989Z,participant-04,participant,attempt.started,attempt,participant-04 python attempt 1,,"{""bankVersion"":1,""assessmentId"":""python"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.008Z,participant-04,participant,attempt.submitted,attempt,participant-04 python attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""python"",""attemptNumber"":1,""timeUsedSeconds"":539}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.013Z,participant-05,participant,attempt.started,attempt,participant-05 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.031Z,participant-05,participant,attempt.submitted,attempt,participant-05 ta attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""ta"",""attemptNumber"":1,""timeUsedSeconds"":343}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.034Z,participant-05,participant,attempt.started,attempt,participant-05 sql attempt 1,,"{""bankVersion"":1,""assessmentId"":""sql"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.053Z,participant-05,participant,attempt.submitted,attempt,participant-05 sql attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""sql"",""attemptNumber"":1,""timeUsedSeconds"":181}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.057Z,participant-05,participant,attempt.started,attempt,participant-05 python attempt 1,,"{""bankVersion"":1,""assessmentId"":""python"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.074Z,participant-05,participant,attempt.submitted,attempt,participant-05 python attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""python"",""attemptNumber"":1,""timeUsedSeconds"":256}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.077Z,participant-06,participant,attempt.started,attempt,participant-06 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.096Z,participant-06,participant,attempt.submitted,attempt,participant-06 ta attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""ta"",""attemptNumber"":1,""timeUsedSeconds"":475}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.100Z,participant-06,participant,attempt.started,attempt,participant-06 sql attempt 1,,"{""bankVersion"":1,""assessmentId"":""sql"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.120Z,participant-06,participant,attempt.submitted,attempt,participant-06 sql attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""sql"",""attemptNumber"":1,""timeUsedSeconds"":474}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.124Z,participant-06,participant,attempt.started,attempt,participant-06 python attempt 1,,"{""bankVersion"":1,""assessmentId"":""python"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.143Z,participant-06,participant,attempt.submitted,attempt,participant-06 python attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""python"",""attemptNumber"":1,""timeUsedSeconds"":346}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.147Z,participant-07,participant,attempt.started,attempt,participant-07 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.167Z,participant-07,participant,attempt.submitted,attempt,participant-07 ta attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""ta"",""attemptNumber"":1,""timeUsedSeconds"":492}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.170Z,participant-07,participant,attempt.started,attempt,participant-07 sql attempt 1,,"{""bankVersion"":1,""assessmentId"":""sql"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.189Z,participant-07,participant,attempt.submitted,attempt,participant-07 sql attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""sql"",""attemptNumber"":1,""timeUsedSeconds"":471}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.192Z,participant-07,participant,attempt.started,attempt,participant-07 python attempt 1,,"{""bankVersion"":1,""assessmentId"":""python"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.211Z,participant-07,participant,attempt.submitted,attempt,participant-07 python attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""python"",""attemptNumber"":1,""timeUsedSeconds"":309}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.214Z,participant-08,participant,attempt.started,attempt,participant-08 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.231Z,participant-08,participant,attempt.submitted,attempt,participant-08 ta attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""ta"",""attemptNumber"":1,""timeUsedSeconds"":546}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.235Z,participant-08,participant,attempt.started,attempt,participant-08 sql attempt 1,,"{""bankVersion"":1,""assessmentId"":""sql"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.254Z,participant-08,participant,attempt.submitted,attempt,participant-08 sql attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""sql"",""attemptNumber"":1,""timeUsedSeconds"":397}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.257Z,participant-08,participant,attempt.started,attempt,participant-08 python attempt 1,,"{""bankVersion"":1,""assessmentId"":""python"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.275Z,participant-08,participant,attempt.submitted,attempt,participant-08 python attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""python"",""attemptNumber"":1,""timeUsedSeconds"":385}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.279Z,participant-09,participant,attempt.started,attempt,participant-09 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.295Z,participant-09,participant,attempt.submitted,attempt,participant-09 ta attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""ta"",""attemptNumber"":1,""timeUsedSeconds"":365}"
