item_id,assessment,section,slot,type,attempts,correct,facility_percent,distribution,outlier,outlier_reason,retired,retired_at_melbourne,retired_at_iso
ta-01-a,ta,fundamentals,1,single,6,4,67,o1: 1; o2*: 4; o3: 0; o4: 0; unanswered: 1,No,,Yes,2026-09-10 05:43:54 AEST,2026-09-09T19:43:54.292Z
ta-01-b,ta,fundamentals,1,single,4,2,50,o1: 1; o2: 0; o3*: 2; o4: 1; unanswered: 0,No,,No,,
ta-02-a,ta,fundamentals,2,ordering,7,2,29,correct: 2; incorrect: 5; unanswered: 0; commonest wrong: 2 > 3 > 1 x5,No,,No,,
ta-02-b,ta,fundamentals,2,ordering,3,2,67,correct: 2; incorrect: 1; unanswered: 0; commonest wrong: 2 > 3 > 4 > 1 x1,No,,No,,
ta-03-a,ta,fundamentals,3,single,6,3,50,o1: 0; o2: 1; o3: 1; o4*: 3; unanswered: 1,No,,No,,
ta-03-b,ta,fundamentals,3,single,4,0,0,o1*: 0; o2: 1; o3: 1; o4: 2; unanswered: 0,No,,No,,
ta-04-a,ta,fundamentals,4,single,2,1,50,o1*: 1; o2: 1; o3: 0; o4: 0; unanswered: 0,No,,No,,
ta-04-b,ta,fundamentals,4,single,8,6,75,o1: 0; o2*: 6; o3: 2; o4: 0; unanswered: 0,No,,No,,
ta-05-a,ta,fundamentals,5,multi,6,2,33,o1*: 4; o2: 0; o3*: 5; o4: 1; o5: 1; unanswered: 1,No,,No,,
ta-05-b,ta,fundamentals,5,multi,4,1,25,o1*: 3; o2: 0; o3*: 4; o4: 2; o5*: 4; o6: 0; unanswered: 0,No,,No,,
ta-06-a,ta,fundamentals,6,single,6,4,67,o1: 0; o2: 0; o3*: 4; o4: 2; unanswered: 0,No,,No,,
ta-06-b,ta,fundamentals,6,single,4,2,50,o1: 0; o2: 0; o3: 1; o4*: 2; unanswered: 1,No,,No,,
ta-07-a,ta,fundamentals,7,single,7,6,86,o1: 0; o2: 1; o3: 0; o4*: 6; unanswered: 0,No,,No,,
ta-07-b,ta,fundamentals,7,single,3,2,67,o1*: 2; o2: 0; o3: 1; o4: 0; unanswered: 0,No,,No,,
ta-08-a,ta,fundamentals,8,multi,6,4,67,o1*: 6; o2: 0; o3: 1; o4*: 5; o5: 0; unanswered: 0,No,,No,,
ta-08-b,ta,fundamentals,8,multi,4,1,25,o1: 0; o2*: 3; o3: 0; o4*: 4; o5: 2; o6*: 4; unanswered: 0,No,,No,,
ta-09-a,ta,fundamentals,9,matching,5,3,60,correct: 3; incorrect: 2; unanswered: 1; commonest wrong: 1B 2B 3C 4A x1,No,,No,,
ta-09-b,ta,fundamentals,9,matching,5,4,80,correct: 4; incorrect: 1; unanswered: 0; commonest wrong: 1B 2B 3C 4D 5A 6B x1,No,,No,,
ta-10-a,ta,fundamentals,10,single,5,0,0,o1: 1; o2: 3; o3*: 0; o4: 0; unanswered: 1,Yes,Facility 0% over 5 attempts. Almost nobody answers this correctly.,No,,
ta-10-b,ta,fundamentals,10,single,5,0,0,o1: 1; o2: 1; o3: 3; o4*: 0; unanswered: 0,Yes,Facility 0% over 5 attempts. Almost nobody answers this correctly.,No,,
sql-01-a,sql,foundations,1,single,6,6,100,o1: 0; o2*: 6; o3: 0; o4: 0; unanswered: 0,Yes,Facility 100% over 6 attempts. Almost everybody answers this correctly. Facility 100% against 60% for the other items in this slot.,No,,
sql-01-b,sql,foundations,1,single,5,3,60,o1: 1; o2: 1; o3*: 3; o4: 0; unanswered: 0,Yes,Facility 60% against 100% for the other items in this slot.,No,,
sql-02-a,sql,foundations,2,single,6,3,50,o1: 0; o2: 1; o3*: 3; o4: 0; unanswered: 2,No,,No,,
sql-02-b,sql,foundations,2,single,0,0,,o1: 0; o2: 0; o3: 0; o4*: 0; unanswered: 0,No,,No,,
sql-02-c,sql,foundations,2,single,5,4,80,o1*: 4; o2: 1; o3: 0; o4: 0; unanswered: 0,No,,No,,
sql-03-a,sql,foundations,3,single,8,5,63,o1: 0; o2: 1; o3: 2; o4*: 5; unanswered: 0,No,,No,,
sql-03-b,sql,foundations,3,single,3,3,100,o1*: 3; o2: 0; o3: 0; o4: 0; unanswered: 0,No,,No,,
sql-04-a,sql,foundations,4,single,9,6,67,o1*: 6; o2: 1; o3: 2; o4: 0; unanswered: 0,No,,No,,
sql-04-b,sql,foundations,4,single,2,2,100,o1: 0; o2*: 2; o3: 0; o4: 0; unanswered: 0,No,,No,,
sql-05-a,sql,foundations,5,single,7,4,57,o1: 1; o2*: 4; o3: 0; o4: 2; unanswered: 0,No,,No,,
sql-05-b,sql,foundations,5,single,4,2,50,o1: 0; o2: 1; o3*: 2; o4: 1; unanswered: 0,No,,No,,
sql-06-a,sql,foundations,6,single,5,4,80,o1: 0; o2: 0; o3*: 4; o4: 1; unanswered: 0,No,,No,,
sql-06-b,sql,foundations,6,single,6,5,83,o1: 1; o2: 0; o3: 0; o4*: 5; unanswered: 0,No,,No,,
sql-07-a,sql,applied,7,single,1,1,100,o1: 0; o2: 0; o3: 0; o4*: 1; unanswered: 0,No,,No,,
sql-07-b,sql,applied,7,single,4,3,75,o1*: 3; o2: 0; o3: 1; o4: 0; unanswered: 0,No,,No,,
sql-07-c,sql,applied,7,single,6,3,50,o1: 1; o2*: 3; o3: 2; o4: 0; unanswered: 0,No,,No,,
sql-08-a,sql,applied,8,single,4,2,50,o1*: 2; o2: 1; o3: 0; o4: 1; unanswered: 0,No,,No,,
sql-08-b,sql,applied,8,single,7,5,71,o1: 0; o2*: 5; o3: 1; o4: 0; unanswered: 1,No,,No,,
sql-08-c,sql,applied,8,single,0,0,,o1: 0; o2: 0; o3*: 0; o4: 0; unanswered: 0,No,,No,,
sql-09-a,sql,applied,9,single,5,1,20,o1: 1; o2*: 1; o3: 1; o4: 1; unanswered: 1,Yes,Facility 20% over 5 attempts. Almost nobody answers this correctly. Facility 20% against 67% for the other items in this slot.,No,,
sql-09-b,sql,applied,9,single,6,4,67,o1: 0; o2: 2; o3*: 4; o4: 0; unanswered: 0,Yes,Facility 67% against 20% for the other items in this slot.,No,,
sql-10-a,sql,applied,10,multi,4,3,75,o1*: 4; o2: 0; o3*: 4; o4: 1; o5: 0; unanswered: 0,No,,No,,
sql-10-b,sql,applied,10,multi,7,7,100,o1: 0; o2*: 7; o3: 0; o4*: 7; o5: 0; o6*: 7; unanswered: 0,Yes,Facility 100% over 7 attempts. Almost everybody answers this correctly.,No,,
python-01-a,python,core,1,single,8,2,25,o1: 5; o2*: 2; o3: 1; o4: 0; unanswered: 0,No,,No,,
python-01-b,python,core,1,single,3,3,100,o1: 0; o2: 0; o3*: 3; o4: 0; unanswered: 0,No,,No,,
python-02-a,python,core,2,single,6,4,67,o1: 1; o2: 0; o3*: 4; o4: 1; unanswered: 0,No,,No,,
python-02-b,python,core,2,single,5,3,60,o1: 1; o2: 1; o3: 0; o4*: 3; unanswered: 0,No,,No,,
python-03-a,python,core,3,single,3,2,67,o1: 1; o2: 0; o3: 0; o4*: 2; unanswered: 0,No,,No,,
python-03-b,python,core,3,single,8,3,38,o1*: 3; o2: 3; o3: 1; o4: 0; unanswered: 1,No,,No,,
python-04-a,python,core,4,single,2,1,50,o1*: 1; o2: 0; o3: 0; o4: 1; unanswered: 0,No,,No,,
python-04-b,python,core,4,single,9,4,44,o1: 2; o2*: 4; o3: 3; o4: 0; unanswered: 0,No,,No,,
python-05-a,python,core,5,single,4,4,100,o1: 0; o2*: 4; o3: 0; o4: 0; unanswered: 0,No,,No,,
python-05-b,python,core,5,single,7,3,43,o1: 1; o2: 0; o3*: 3; o4: 2; unanswered: 1,No,,No,,
python-06-a,python,core,6,single,2,1,50,o1: 0; o2: 1; o3*: 1; o4: 0; unanswered: 0,No,,No,,
python-06-b,python,core,6,single,4,4,100,o1: 0; o2: 0; o3: 0; o4*: 4; unanswered: 0,No,,No,,
python-06-c,python,core,6,single,5,4,80,o1*: 4; o2: 0; o3: 1; o4: 0; unanswered: 0,No,,No,,
python-07-a,python,testing,7,multi,6,6,100,o1: 0; o2: 0; o3*: 6; o4: 0; o5*: 6; unanswered: 0,Yes,Facility 100% over 6 attempts. Almost everybody answers this correctly.,No,,
python-07-b,python,testing,7,multi,1,1,100,o1*: 1; o2: 0; o3*: 1; o4: 0; o5*: 1; o6: 0; unanswered: 0,No,,No,,
python-07-c,python,testing,7,multi,4,2,50,o1: 0; o2*: 4; o3: 0; o4*: 3; o5*: 3; unanswered: 0,No,,No,,
python-08-a,python,testing,8,single,5,2,40,o1*: 2; o2: 2; o3: 0; o4: 0; unanswered: 1,No,,No,,
python-08-b,python,testing,8,single,6,4,67,o1: 0; o2*: 4; o3: 1; o4: 1; unanswered: 0,No,,No,,
python-09-a,python,testing,9,single,7,3,43,o1: 2; o2*: 3; o3: 0; o4: 1; unanswered: 1,No,,No,,
python-09-b,python,testing,9,single,4,4,100,o1: 0; o2: 0; o3*: 4; o4: 0; unanswered: 0,No,,No,,
python-10-a,python,testing,10,multi,3,2,67,o1*: 2; o2: 0; o3*: 2; o4: 0; o5: 0; unanswered: 1,No,,No,,
python-10-b,python,testing,10,multi,8,3,38,o1: 2; o2*: 7; o3: 0; o4*: 6; o5: 0; o6*: 8; unanswered: 0,No,,No,,
