participant_code,assessment,assessment_title,status,attempt_number,reset_count,section_1_title,section_1_score,section_1_served,section_1_threshold,section_1_met,section_2_title,section_2_score,section_2_served,section_2_threshold,section_2_met,TA-1,SQL-1,SQL-2,PY-1,PY-2a,PY-2b,GIT-1,shorthand,time_used_seconds,time_used_mmss,seed,bank_version,submit_kind,submitted_at_melbourne,submitted_at_iso
participant-01,ta,Test Automation Fundamentals,Not started,,1,,,,,,,,,,,,,,,,,,,,,,,,,
participant-01,sql,SQL,Submitted,1,0,foundations,1,6,5,No,applied,2,4,3,No,,Prescribed,Prescribed,,,,,,204,03:24,1250ed39fe6b494d3a5b0caaea37eabab22a5abfa3bd6207b0b7505291549c54,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.036Z
participant-01,python,Python,Submitted,1,0,core,2,6,5,No,testing,3,4,3,Yes,,,,Prescribed,Prescribed,Prescribed,,,227,03:47,9d6d94ee06afc96cdcef481e49389c91680daf7475eeecf7e0fb321c1dc089ae,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.064Z
participant-02,ta,Test Automation Fundamentals,Submitted,2,1,fundamentals,9,10,8,Yes,,,,,,Evidence review,,,,,,,P2,359,05:59,6c01fe13b8da5b7cd2e4aa911009a3078fa502173351d051a47f4ea34eabc6be,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.120Z
participant-02,sql,SQL,Submitted,1,0,foundations,6,6,5,Yes,applied,4,4,3,Yes,,Credited,Credited,,,,,P2,235,03:55,4b08ea2fdf1971b26664a01edf014300dcfc1229f27b8630818781dcde15819a,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.145Z
participant-02,python,Python,Submitted,1,0,core,4,6,5,No,testing,4,4,3,Yes,,,,Prescribed,Prescribed,Prescribed,,P2,201,03:21,4966a8e5e1df30d4e2353c717d86071d8668a16d0aedfcc3a91a99a9bfbece46,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.171Z
participant-03,ta,Test Automation Fundamentals,Submitted,1,0,fundamentals,2,10,8,No,,,,,,Prescribed,,,,,,,P2,486,08:06,857599c0a9ee168fdbc65f60208d2e71ae135972cbc30040114cc7eaef7af22f,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.198Z
participant-03,sql,SQL,Submitted,1,0,foundations,5,6,5,Yes,applied,2,4,3,No,,Credited,Prescribed,,,,,P2,191,03:11,abcfb063da9ca1b6b9b308397c33027c015ae0a18a147e66f2f8f13418b9edd4,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.223Z
participant-03,python,Python,Submitted,1,0,core,2,6,5,No,testing,1,4,3,No,,,,Prescribed,Prescribed,Prescribed,,P2,599,09:59,0d76ea5070074337092a28c2706037131514a9428a27e5cc919f14ea55fc0c3a,1,expired,2026-09-10 07:31:46 AEST,2026-09-09T21:31:46.241Z
participant-04,ta,Test Automation Fundamentals,Submitted,1,0,fundamentals,2,10,8,No,,,,,,Prescribed,,,,,,,P1,346,05:46,9d930e2978a94b7695a5d598761adb30fc721ae4512fb2e3eff9a4eb872387f5,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.263Z
participant-04,sql,SQL,Submitted,1,0,foundations,4,6,5,No,applied,3,4,3,Yes,,Prescribed,Prescribed,,,,,P1,209,03:29,6237979fdba18e6b8cd7a91df4c64bf41a7e01831989cba24c185d3cce8e96e2,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.286Z
