item_id,assessment,section,slot,type,attempts,correct,facility_percent,distribution,outlier,outlier_reason,retired,retired_at_melbourne,retired_at_iso
ta-01-a,ta,fundamentals,1,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
ta-01-b,ta,fundamentals,1,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
ta-02-a,ta,fundamentals,2,ordering,0,0,,correct: 0; incorrect: 0; unanswered: 0,No,,No,,
ta-02-b,ta,fundamentals,2,ordering,0,0,,correct: 0; incorrect: 0; unanswered: 0,No,,No,,
ta-03-a,ta,fundamentals,3,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
ta-03-b,ta,fundamentals,3,single,0,0,,a: 0; b: 0; c*: 0; d: 0; unanswered: 0,No,,No,,
ta-04-a,ta,fundamentals,4,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
ta-04-b,ta,fundamentals,4,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
ta-05-a,ta,fundamentals,5,multi,0,0,,a*: 0; b*: 0; c: 0; d: 0; e*: 0; unanswered: 0,No,,No,,
ta-05-b,ta,fundamentals,5,multi,0,0,,a*: 0; b*: 0; c: 0; d*: 0; e: 0; unanswered: 0,No,,No,,
ta-06-a,ta,fundamentals,6,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
ta-06-b,ta,fundamentals,6,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
ta-07-a,ta,fundamentals,7,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
ta-07-b,ta,fundamentals,7,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
ta-08-a,ta,fundamentals,8,multi,0,0,,a*: 0; b*: 0; c*: 0; d: 0; e: 0; f: 0; unanswered: 0,No,,No,,
ta-08-b,ta,fundamentals,8,multi,0,0,,a*: 0; b*: 0; c*: 0; d: 0; e: 0; f: 0; unanswered: 0,No,,No,,
ta-09-a,ta,fundamentals,9,matching,0,0,,correct: 0; incorrect: 0; unanswered: 0,No,,No,,
ta-09-b,ta,fundamentals,9,matching,0,0,,correct: 0; incorrect: 0; unanswered: 0,No,,No,,
ta-10-a,ta,fundamentals,10,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
ta-10-b,ta,fundamentals,10,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-01-a,sql,foundations,1,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-01-b,sql,foundations,1,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-02-a,sql,foundations,2,single,0,0,,a: 0; b*: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-02-b,sql,foundations,2,single,0,0,,a: 0; b: 0; c*: 0; d: 0; unanswered: 0,No,,No,,
sql-02-c,sql,foundations,2,single,0,0,,a: 0; b: 0; c*: 0; d: 0; unanswered: 0,No,,No,,
sql-03-a,sql,foundations,3,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-03-b,sql,foundations,3,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-04-a,sql,foundations,4,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-04-b,sql,foundations,4,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-05-a,sql,foundations,5,single,0,0,,a: 0; b*: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-05-b,sql,foundations,5,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-06-a,sql,foundations,6,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-06-b,sql,foundations,6,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-07-a,sql,applied,7,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-07-b,sql,applied,7,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-07-c,sql,applied,7,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
