participant_code,assessment,assessment_title,status,attempt_number,reset_count,section_1_title,section_1_score,section_1_served,section_1_threshold,section_1_met,section_2_title,section_2_score,section_2_served,section_2_threshold,section_2_met,TA-1,SQL-1,SQL-2,PY-1,PY-2a,PY-2b,GIT-1,shorthand,time_used_seconds,time_used_mmss,seed,bank_version,submit_kind,submitted_at_melbourne,submitted_at_iso
participant-01,ta,Test Automation Fundamentals,Not started,,1,,,,,,,,,,,,,,,,,,,,,,,,,
participant-01,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-01,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-02,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-02,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-02,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-03,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-03,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-03,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-04,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-04,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-04,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-05,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-05,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-05,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-06,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-06,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-06,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-07,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-07,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-07,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-08,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-08,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-08,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-09,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-09,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-09,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-10,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-10,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-10,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-11,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-11,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-11,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-12,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-12,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-12,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-13,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-13,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-13,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-14,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-14,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-14,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-15,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-15,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-15,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
